Date,Total Load [MW],Forecast Total load [MW]
2018-01-01 00:00:00,24336.50025,24954.50075
2018-01-01 01:00:00,23186.0,23525.25
2018-01-01 02:00:00,21740.99975,22025.24975
2018-01-01 03:00:00,20629.74975,20997.500500000002
2018-01-01 04:00:00,20034.749499999998,20416.25075
2018-01-01 05:00:00,20282.749499999998,20449.24975
2018-01-01 06:00:00,21169.5,21061.749499999998
2018-01-01 07:00:00,21810.0,21523.00025
2018-01-01 08:00:00,22230.249499999998,21314.75
2018-01-01 09:00:00,24001.500500000002,22563.25
2018-01-01 10:00:00,26088.75025,24348.500500000002
2018-01-01 11:00:00,27981.49975,26228.49975
2018-01-01 12:00:00,28805.25025,26759.25
2018-01-01 13:00:00,27212.99975,25809.0
2018-01-01 14:00:00,26736.24975,25101.74975
2018-01-01 15:00:00,26526.5,25508.0
2018-01-01 16:00:00,27553.25,27237.499499999998
2018-01-01 17:00:00,30676.25025,29940.0
2018-01-01 18:00:00,31205.24975,31255.00025
2018-01-01 19:00:00,31415.75,31486.00025
2018-01-01 20:00:00,30569.74975,30739.75
2018-01-01 21:00:00,28951.75075,29229.24975
2018-01-01 22:00:00,26885.50025,26869.75
2018-01-01 23:00:00,24391.74975,24381.25025
2018-01-02 00:00:00,21990.000500000002,22492.49975
2018-01-02 01:00:00,20417.000500000002,21190.750500000002
2018-01-02 02:00:00,19712.751,20206.24975
2018-01-02 03:00:00,19471.501,19888.00025
2018-01-02 04:00:00,19873.49925,20078.0
2018-01-02 05:00:00,21469.75025,22144.499499999998
2018-01-02 06:00:00,25497.99875,25876.0
2018-01-02 07:00:00,30154.74975,30573.25025
2018-01-02 08:00:00,34817.499500000005,35332.0
2018-01-02 09:00:00,38653.74925,38889.749500000005
2018-01-02 10:00:00,39467.25025,40329.500499999995
2018-01-02 11:00:00,40020.75025,41070.25025
2018-01-02 12:00:00,39151.75,41317.499500000005
2018-01-02 13:00:00,37690.99975,39885.24975
2018-01-02 14:00:00,36882.74975,39343.00025
2018-01-02 15:00:00,36470.249500000005,39340.499500000005
2018-01-02 16:00:00,38148.5,39298.00075
2018-01-02 17:00:00,41994.75025,42284.74975
2018-01-02 18:00:00,42167.75025,43635.000499999995
2018-01-02 19:00:00,41517.25,42745.75025
2018-01-02 20:00:00,38888.0,40242.0
2018-01-02 21:00:00,35870.75,37226.750499999995
2018-01-02 22:00:00,31979.0,33616.24975
2018-01-02 23:00:00,28581.75075,30092.25025
2018-01-03 00:00:00,25484.00075,26678.75025
2018-01-03 01:00:00,23714.49975,24544.49975
2018-01-03 02:00:00,22685.25,23359.75025
2018-01-03 03:00:00,22412.25,22970.500500000002
2018-01-03 04:00:00,22591.25,23358.25
2018-01-03 05:00:00,24433.750500000002,24966.75
2018-01-03 06:00:00,29046.50025,29113.50025
2018-01-03 07:00:00,34296.249500000005,33771.0
2018-01-03 08:00:00,38755.0,38149.49975
2018-01-03 09:00:00,41373.74975,42037.999500000005
2018-01-03 10:00:00,41259.99975,43525.5
2018-01-03 11:00:00,40513.25,43324.00025
2018-01-03 12:00:00,39149.25,40608.74975
2018-01-03 13:00:00,38999.99975,38984.25
2018-01-03 14:00:00,39770.249500000005,38814.50025
2018-01-03 15:00:00,40172.75025,38851.25025
2018-01-03 16:00:00,41900.750499999995,39663.99975
2018-01-03 17:00:00,44733.24975,42836.5
2018-01-03 18:00:00,44344.5,43920.250499999995
2018-01-03 19:00:00,43292.749500000005,43242.25
2018-01-03 20:00:00,40516.50025,40883.0
2018-01-03 21:00:00,37132.99975,37889.75
2018-01-03 22:00:00,33017.500499999995,34122.00025
2018-01-03 23:00:00,29225.75,30113.5
2018-01-04 00:00:00,26381.25,26684.0
2018-01-04 01:00:00,24615.74975,25048.75
2018-01-04 02:00:00,23635.99975,23873.50075
2018-01-04 03:00:00,23239.25,23430.499499999998
2018-01-04 04:00:00,23557.0,23307.25
2018-01-04 05:00:00,24903.50025,24544.5
2018-01-04 06:00:00,29343.49975,28521.25025
2018-01-04 07:00:00,34253.999500000005,33896.50075
2018-01-04 08:00:00,38696.749500000005,38712.5
2018-01-04 09:00:00,41116.49975,41673.25
2018-01-04 10:00:00,41319.25025,42395.75025
2018-01-04 11:00:00,40580.500499999995,41957.750499999995
2018-01-04 12:00:00,39406.24925,42028.50025
2018-01-04 13:00:00,38120.49975,40490.500499999995
